Data, Godzina pomiaru, Miasto, Temperatura, WilgodnoÅ›Ä‡, Opady
2020-08-20,9,WrocÅ‚aw,20.7,78.4,0.01
2020-08-20,9,Bydgoszcz,21.4,67.2,14.6
2020-08-20,9,ToruÅ„,21.3,40.3,0
2020-08-20,9,Lublin,23.2,58.1,1.5
2020-08-20,9,GorzÃ³w Wielkopolski,20.4,75.4,0.1
2020-08-20,9,Zielona GÃ³ra,22.5,68.3,0
2020-08-20,9,LÃ³dÅº,23.4,59.3,1.6
2020-08-20,9,KrakÃ³w,23,64.5,0
2020-08-20,9,Warszawa,23.4,52.3,0.8
2020-08-20,9,Opole,23.4,62.5,0
2020-08-20,9,RzeczÃ³w,8,99.3,46.2
2020-08-20,9,BiaÅ‚ystok,22.4,65.2,1.7
2020-08-20,9,GdaÅ„sk,21.3,84.8,0
2020-08-20,9,Katowice,24.2,44.1,0
2020-08-20,9,Kielce,21.4,75.5,0.2
2020-08-20,9,Olsztyn,24.3,46.3,0
2020-08-20,9,PoznaÅ„,21.7,68.6,0
2020-08-20,9,Szczecin,22.7,46.2,0

2020-08-20,12,WrocÅ‚aw,23.8,60.1,0.01
2020-08-20,12,Bydgoszcz,23.7,54.1,14.6
2020-08-20,12,ToruÅ„,25.2,28.3,0
2020-08-20,12,Lublin,25.9,46.9,1.5
2020-08-20,12,GorzÃ³w Wielkopolski,21.8,64.2,0.1
2020-08-20,12,Zielona GÃ³ra,22.4,67.4,0
2020-08-20,12,LÃ³dÅº,27.1,39.0,1.6
2020-08-20,12,KrakÃ³w,24,57.1,0
2020-08-20,12,Warszawa,26.3,44.0,0.8
2020-08-20,12,Opole,26.2,47.0,0
2020-08-20,12,RzeczÃ³w,10.9,89.1,46.2
2020-08-20,12,BiaÅ‚ystok,25.3,57.0,1.7
2020-08-20,12,GdaÅ„sk,25.7,59.3,0
2020-08-20,12,Katowice,25.2,44.1,0
2020-08-20,12,Kielce,25.7,40.2,0.2
2020-08-20,12,Olsztyn,27.4,35.1,0
2020-08-20,12,PoznaÅ„,21,67.6,0
2020-08-20,12,Szczecin,25.6,38.1,0

2020-08-20,13,WrocÅ‚aw,24.1,57.1,0.01
2020-08-20,13,Bydgoszcz,23.9,50.0,14.6
2020-08-20,13,ToruÅ„,25.5,28.3,0
2020-08-20,13,Lublin,25.6,45.9,1.5
2020-08-20,13,GorzÃ³w Wielkopolski,21.7,67.2,0.1
2020-08-20,13,Zielona GÃ³ra,22.2,70.5,0
2020-08-20,13,LÃ³dÅº,27.5,40.1,1.6
2020-08-20,13,KrakÃ³w,22.9,66.1,0
2020-08-20,13,Warszawa,26.3,42.0,0.8
2020-08-20,13,Opole,26.5,47.1,0
2020-08-20,13,RzeczÃ³w,11.8,75.6,46.2
2020-08-20,13,BiaÅ‚ystok,25.6,51.1,1.7
2020-08-20,13,GdaÅ„sk,24.8,61.1,0
2020-08-20,13,Katowice,26,40.0,0
2020-08-20,13,Kielce,26,39.2,0.2
2020-08-20,13,Olsztyn,28.1,35.9,0
2020-08-20,13,PoznaÅ„,21.4,64.2,0
2020-08-20,13,Szczecin,26.2,39.0,0

2020-08-20,15,WrocÅ‚aw,25,56.2,0.01
2020-08-20,15,Bydgoszcz,24.7,48.2,14.6
2020-08-20,15,ToruÅ„,26,29.3,0
2020-08-20,15,Lublin,25.8,42.2,1.5
2020-08-20,15,GorzÃ³w Wielkopolski,21.4,69.4,0.1
2020-08-20,15,Zielona GÃ³ra,21.4,80.6,0
2020-08-20,15,LÃ³dÅº,28.6,31.1,1.6
2020-08-20,15,KrakÃ³w,22.1,71.4,0
2020-08-20,15,Warszawa,26.6,44.1,0.8
2020-08-20,15,Opole,27.2,41.1,0
2020-08-20,15,RzeczÃ³w,13.6,75.4,46.2
2020-08-20,15,BiaÅ‚ystok,25.3,53.0,1.7
2020-08-20,15,GdaÅ„sk,23.5,73.4,0
2020-08-20,15,Katowice,25.7,40.2,0
2020-08-20,15,Kielce,26.5,37.0,0.2
2020-08-20,15,Olsztyn,28.1,35.9,0
2020-08-20,15,PoznaÅ„,21.7,67.2,0
2020-08-20,15,Szczecin,24.9,51.3,0
2020-08-20,15,WrocÅ‚aw,25,56.2,0.01
2020-08-20,15,Bydgoszcz,24.7,48.2,14.6
2020-08-20,15,ToruÅ„,26,29.3,0
2020-08-20,15,Lublin,25.8,42.2,1.5
2020-08-20,15,GorzÃ³w Wielkopolski,21.4,69.4,0.1
2020-08-20,15,Zielona GÃ³ra,21.4,80.6,0
2020-08-20,15,LÃ³dÅº,28.6,31.1,1.6
2020-08-20,15,KrakÃ³w,22.1,71.4,0
2020-08-20,15,Warszawa,26.6,44.1,0.8
2020-08-20,15,Opole,27.2,41.1,0
2020-08-20,15,RzeczÃ³w,13.6,75.4,46.2
2020-08-20,15,BiaÅ‚ystok,25.3,53.0,1.7
2020-08-20,15,GdaÅ„sk,23.5,73.4,0
2020-08-20,15,Katowice,25.7,40.2,0
2020-08-20,15,Kielce,26.5,37.0,0.2
2020-08-20,15,Olsztyn,28.1,35.9,0
2020-08-20,15,PoznaÅ„,21.7,67.2,0
2020-08-20,15,Szczecin,24.9,51.3,0

2020-08-20,16,WrocÅ‚aw,24.6,61.1,0.01
2020-08-20,16,Bydgoszcz,24.4,46.3,14.6
2020-08-20,16,ToruÅ„,25,36.2,0
2020-08-20,16,Lublin,25.3,44.1,1.5
2020-08-20,16,GorzÃ³w Wielkopolski,20.5,74.4,0.1
2020-08-20,16,Zielona GÃ³ra,21.1,78.5,0
2020-08-20,16,LÃ³dÅº,28.5,32.2,1.6
2020-08-20,16,KrakÃ³w,21.4,76.5,0
2020-08-20,16,Warszawa,27,36.2,0.8
2020-08-20,16,Opole,26.9,43.0,0
2020-08-20,16,RzeczÃ³w,12.6,81.7,46.2
2020-08-20,16,BiaÅ‚ystok,25.3,51.0,1.7
2020-08-20,16,GdaÅ„sk,23.2,74.3,0
2020-08-20,16,Katowice,26.1,39.0,0
2020-08-20,16,Kielce,26.1,39.0,0.2
2020-08-20,16,Olsztyn,27.9,37.1,0
2020-08-20,16,PoznaÅ„,21.1,68.5,0
2020-08-20,16,Szczecin,25.8,46.0,0

2020-08-20,19,WrocÅ‚aw,18.5,90.8,0.01
2020-08-20,19,Bydgoszcz,17.4,80.6,14.6
2020-08-20,19,ToruÅ„,18.8,58.3,0
2020-08-20,19,Lublin,21,62.4,1.5
2020-08-20,19,GorzÃ³w Wielkopolski,17.4,89.0,0.1
2020-08-20,19,Zielona GÃ³ra,19.6,85.7,0
2020-08-20,19,LÃ³dÅº,23.9,50.0,1.6
2020-08-20,19,KrakÃ³w,19.4,89.7,0
2020-08-20,19,Warszawa,18.3,79.7,0.8
2020-08-20,19,Opole,22,61.4,0
2020-08-20,19,RzeczÃ³w,9.3,94.7,46.2
2020-08-20,18,BiaÅ‚ystok,19.5,81.4,1.7
2020-08-20,19,GdaÅ„sk,20.3,84.7,0
2020-08-20,19,Katowice,19.3,65.5,0
2020-08-20,19,Kielce,17.7,83.9,0.2
2020-08-20,19,Olsztyn,21.2,57.3,0
2020-08-20,19,PoznaÅ„,22.8,58.4,0
2020-08-20,19,Szczecin,23.4,52.3,0

2020-08-21,4,WrocÅ‚aw,14,98.0,0.01
2020-08-21,4,Bydgoszcz,14.7,85.9,14.6
2020-08-21,4,ToruÅ„,15.4,76.7,0
2020-08-21,4,Lublin,15,93.6,1.5
2020-08-21,4,GorzÃ³w Wielkopolski,18.7,74.7,0.1
2020-08-21,4,Zielona GÃ³ra,17.5,93.7,0
2020-08-21,4,LÃ³dÅº,19,69.5,1.6
2020-08-21,4,KrakÃ³w,18.8,93.8,0
2020-08-21,4,Warszawa,11.6,98.7,0.8
2020-08-21,4,Opole,16.4,88.9,0
2020-08-21,4,RzeczÃ³w,9.3,71.6,46.2
2020-08-21,4,BiaÅ‚ystok,13,98.0,1.7
2020-08-21,4,GdaÅ„sk,16.7,98.1,0
2020-08-21,4,Katowice,11.3,92.8,0
2020-08-21,4,Kielce,11.7,100.0,0.2
2020-08-21,4,Olsztyn,14.9,87.6,0
2020-08-21,4,PoznaÅ„,18.7,69.4,0
2020-08-21,4,Szczecin,19.7,60.5,0

2020-08-21,6,WrocÅ‚aw,18.4,95.0,0
2020-08-21,6,Bydgoszcz,19,73.7,0
2020-08-21,6,ToruÅ„,20.1,62.2,0
2020-08-21,6,Lublin,18.2,77.6,0
2020-08-21,6,GorzÃ³w Wielkopolski,19.5,75.8,0
2020-08-21,6,Zielona GÃ³ra,19,85.7,0
2020-08-21,6,LÃ³dÅº,22,60.2,0
2020-08-21,5,KrakÃ³w,19.5,89.7,0
2020-08-21,6,Warszawa,16.4,90.1,0
2020-08-21,6,Opole,19.1,79.8,0
2020-08-21,6,RzeczÃ³w,11,51.5,0
2020-08-21,6,BiaÅ‚ystok,18.2,90.8,0.1
2020-08-21,6,GdaÅ„sk,18.6,98.1,0.1
2020-08-21,6,Katowice,18.4,75.6,0
2020-08-21,6,Kielce,16.2,88.9,0
2020-08-21,6,Olsztyn,19.4,74.8,0
2020-08-21,6,PoznaÅ„,22.5,60.3,0
2020-08-21,6,Szczecin,21.6,59.3,0

2020-08-21,8,WrocÅ‚aw,22.1,76.6,0
2020-08-21,8,Bydgoszcz,23.4,57.3,0
2020-08-21,8,ToruÅ„,26.7,45.0,0
2020-08-21,8,Lublin,24,58.2,0
2020-08-21,8,GorzÃ³w Wielkopolski,24.3,41.3,0
2020-08-21,8,Zielona GÃ³ra,24.8,54.0,0
2020-08-21,8,LÃ³dÅº,27.6,46.1,0
2020-08-21,8,KrakÃ³w,22.2,75.6,0
2020-08-21,8,Warszawa,25.5,53.1,0
2020-08-21,8,Opole,24.9,57.3,0
2020-08-21,8,RzeczÃ³w,11.7,72.5,0
2020-08-21,8,BiaÅ‚ystok,23.7,67.1,0.1
2020-08-21,8,GdaÅ„sk,23,75.3,0.1
2020-08-21,8,Katowice,24.9,50.2,0
2020-08-21,8,Kielce,22.8,64.4,0
2020-08-21,8,Olsztyn,26.7,50.0,0
2020-08-21,8,PoznaÅ„,27.1,46.9,0
2020-08-21,8,Szczecin,26.6,49.0,0

2020-08-21,9,Wroc³aw,24.1,54.2,0
2020-08-21,9,Bydgoszcz,25.1,46.1,0
2020-08-21,9,Toruñ,28.6,39.0,0
2020-08-21,9,Lublin,26.1,49.2,0
2020-08-21,9,Gorzów Wielkopolski,25.2,47.1,0
2020-08-21,9,Zielona Góra,26.2,50.2,0
2020-08-21,9,LódŸ,30.5,36.0,0
2020-08-21,9,Kraków,23.7,68.4,0
2020-08-21,9,Warszawa,27.8,46.1,0
2020-08-21,9,Opole,26.9,49.1,0
2020-08-21,9,Rzeczów,13.5,71.3,0
2020-08-21,9,Bia³ystok,25,56.2,0.1
2020-08-21,9,Gdañsk,23.3,63.3,0.1
2020-08-21,9,Katowice,26.5,44.1,0
2020-08-21,9,Kielce,27.1,43.9,0
2020-08-21,9,Olsztyn,28.4,40.9,0
2020-08-21,9,Poznañ,29.5,41.9,0
2020-08-21,9,Szczecin,28.8,42.9,0

2020-08-21,12,Wroc³aw,26.2,39.0,0
2020-08-21,12,Bydgoszcz,27.3,38.0,0
2020-08-21,12,Toruñ,30.9,34.0,0
2020-08-21,12,Lublin,28.6,42.0,0
2020-08-21,12,Gorzów Wielkopolski,28.7,36.1,0
2020-08-21,12,Zielona Góra,31.8,33.8,0
2020-08-21,12,LódŸ,33.4,29.9,0
2020-08-21,12,Kraków,26.8,59.9,0
2020-08-21,12,Warszawa,29.6,33.9,0
2020-08-21,12,Opole,29.6,34.9,0
2020-08-21,12,Rzeczów,16.7,71.4,0
2020-08-21,12,Bia³ystok,27.6,44.0,0.1
2020-08-21,12,Gdañsk,27.2,41.1,0.1
2020-08-21,12,Katowice,29.4,33.0,0
2020-08-21,12,Kielce,29.1,41.0,0
2020-08-21,12,Olsztyn,31.3,29.9,0
2020-08-21,12,Poznañ,32.2,35.9,0
2020-08-21,12,Szczecin,31.7,34.9,0

2020-08-21,14,Wroc³aw,26.7,42.1,0
2020-08-21,14,Bydgoszcz,27.6,42.0,0
2020-08-21,14,Toruñ,31,31.8,0
2020-08-21,14,Lublin,28.6,38.0,0
2020-08-21,14,Gorzów Wielkopolski,28.9,35.9,0
2020-08-21,14,Zielona Góra,32.4,32.8,0
2020-08-21,14,LódŸ,33.1,26.8,0
2020-08-21,14,Kraków,26,63.3,0
2020-08-21,14,Warszawa,30.9,34.0,0
2020-08-21,14,Opole,30.7,32.9,0
2020-08-21,14,Rzeczów,17,73.3,0
2020-08-21,14,Bia³ystok,27.9,45.8,0.1
2020-08-21,14,Gdañsk,28.2,40.0,0.1
2020-08-21,14,Katowice,29.3,37.9,0
2020-08-21,14,Kielce,28.8,46.0,0
2020-08-21,14,Olsztyn,31.6,30.9,0
2020-08-21,14,Poznañ,25.3,60.0,0
2020-08-21,14,Szczecin,32.2,33.8,0

2020-08-21,15,Wroc³aw,26.9,41.1,0
2020-08-21,14,Bydgoszcz,27.6,42.0,0
2020-08-21,15,Toruñ,30.3,33.0,0
2020-08-21,15,Lublin,28.8,36.1,0
2020-08-21,15,Gorzów Wielkopolski,28.7,37.0,0
2020-08-21,15,Zielona Góra,31,38.8,0
2020-08-21,15,LódŸ,33.5,27.8,0
2020-08-21,15,Kraków,25.5,64.1,0
2020-08-21,15,Warszawa,30.5,38.9,0
2020-08-21,15,Opole,30.6,34.8,0
2020-08-21,15,Rzeczów,16.9,66.3,0
2020-08-21,15,Bia³ystok,28,45.9,0.1
2020-08-21,15,Gdañsk,27.7,41.0,0.1
2020-08-21,15,Katowice,29.2,36.9,0
2020-08-21,15,Kielce,28.7,46.9,0
2020-08-21,15,Olsztyn,31.4,29.9,0
2020-08-21,15,Poznañ,25.8,56.0,0
2020-08-21,15,Szczecin,32,34.9,0

2020-08-21,17,Wroc³aw,21.6,68.5,0
2020-08-21,17,Bydgoszcz,25,57.3,0
2020-08-21,17,Toruñ,29.2,35.0,0
2020-08-21,16,Lublin,28,37.1,0
2020-08-21,17,Gorzów Wielkopolski,26.7,46.2,0
2020-08-21,17,Zielona Góra,28,44.1,0
2020-08-21,17,LódŸ,32.2,30.9,0
2020-08-21,17,Kraków,24.8,65.2,0
2020-08-21,17,Warszawa,27.8,46.1,0
2020-08-21,17,Opole,29.3,38.9,0
2020-08-21,17,Rzeczów,14.7,82.4,0
2020-08-21,17,Bia³ystok,25.5,61.2,0.1
2020-08-21,17,Gdañsk,25,52.3,0.1
2020-08-21,17,Katowice,26.7,41.0,0
2020-08-21,17,Kielce,26.9,53.0,0
2020-08-21,17,Olsztyn,29.6,37.0,0
2020-08-21,17,Poznañ,24,62.2,0
2020-08-21,17,Szczecin,27.3,52.1,0

2020-08-21,18,Wroc³aw,18.7,81.8,0
2020-08-21,18,Bydgoszcz,22.6,63.1,0
2020-08-21,18,Toruñ,27.5,38.0,0
2020-08-21,18,Lublin,24.7,50.2,0
2020-08-21,18,Gorzów Wielkopolski,25.4,50.0,0
2020-08-21,18,Zielona Góra,26.1,50.2,0
2020-08-21,18,LódŸ,29.4,37.0,0
2020-08-21,18,Kraków,25.5,56.3,0
2020-08-21,18,Warszawa,22.2,69.5,0
2020-08-21,18,Opole,27.4,47.0,0
2020-08-21,18,Rzeczów,13,81.7,0
2020-08-21,18,Bia³ystok,21.8,78.6,0.1
2020-08-21,18,Gdañsk,23.6,57.4,0.1
2020-08-21,18,Katowice,24.3,50.1,0
2020-08-21,18,Kielce,24.9,58.0,0
2020-08-21,18,Olsztyn,26.5,40.2,0
2020-08-21,18,Poznañ,22.4,68.2,0
2020-08-21,18,Szczecin,26.7,55.1,0

2020-08-21,19,Wroc³aw,17.1,86.7,0
2020-08-21,19,Bydgoszcz,21.2,68.5,0
2020-08-21,19,Toruñ,26.7,40.2,0
2020-08-21,19,Lublin,23.4,57.4,0
2020-08-21,19,Gorzów Wielkopolski,23.5,57.4,0
2020-08-21,19,Zielona Góra,24.6,54.3,0
2020-08-21,19,LódŸ,28.4,40.9,0
2020-08-21,19,Kraków,24.2,65.1,0
2020-08-21,19,Warszawa,21.2,76.5,0
2020-08-21,19,Opole,25.5,54.1,0
2020-08-21,19,Rzeczów,12.9,77.9,0
2020-08-21,19,Bia³ystok,20.2,84.7,0.1
2020-08-21,19,Gdañsk,22.5,62.3,0.1
2020-08-21,19,Katowice,21.4,60.5,0
2020-08-21,19,Kielce,23.2,66.2,0
2020-08-21,19,Olsztyn,24,46.2,0
2020-08-21,19,Poznañ,21.4,76.5,0
2020-08-21,19,Szczecin,27.1,51.1,0

2020-08-22,4,Wroc³aw,13.6,98.0,0
2020-08-22,4,Bydgoszcz,18.1,76.6,0
2020-08-22,4,Toruñ,21.3,67.6,0
2020-08-22,3,Lublin,17.9,82.8,0
2020-08-22,4,Gorzów Wielkopolski,21.4,59.3,0
2020-08-22,4,Zielona Góra,21.4,64.2,0
2020-08-22,4,LódŸ,22.8,69.2,0
2020-08-22,3,Kraków,21.7,72.2,0
2020-08-22,4,Warszawa,20,85.8,0
2020-08-22,4,Opole,19.9,84.7,0
2020-08-22,4,Rzeczów,16.2,36.4,0
2020-08-22,4,Bia³ystok,15,96.8,0.1
2020-08-22,4,Gdañsk,20.4,62.3,0.1
2020-08-22,4,Katowice,13.7,94.8,0
2020-08-22,4,Kielce,18,92.5,0
2020-08-22,4,Olsztyn,19.4,78.8,0
2020-08-22,4,Poznañ,19.6,89.7,0
2020-08-22,4,Szczecin,22.8,64.4,0

2020-08-22,5,Wroc³aw,17.7,95.0,0
2020-08-22,4,Bydgoszcz,18.1,76.6,0
2020-08-22,5,Toruñ,21.6,67.2,0
2020-08-22,4,Lublin,18.1,81.8,0
2020-08-22,5,Gorzów Wielkopolski,21.7,60.1,0
2020-08-22,5,Zielona Góra,21.7,66.4,0
2020-08-22,5,LódŸ,21.7,73.6,0
2020-08-22,5,Kraków,21.5,74.6,0
2020-08-22,5,Warszawa,20,88.6,0
2020-08-22,5,Opole,20.5,82.6,0
2020-08-22,5,Rzeczów,15.6,38.5,0
2020-08-22,4,Bia³ystok,15,96.8,0.1
2020-08-22,5,Gdañsk,21.3,58.5,0.1
2020-08-22,5,Katowice,16.3,86.6,0
2020-08-22,5,Kielce,18.3,93.8,0
2020-08-22,5,Olsztyn,20.1,77.3,0
2020-08-22,5,Poznañ,20.6,90.9,0
2020-08-22,4,Szczecin,22.8,64.4,0

2020-08-22,5,Wroc³aw,17.7,95.0,0
2020-08-22,5,Bydgoszcz,20.2,71.5,0
2020-08-22,5,Toruñ,21.6,67.2,0
2020-08-22,5,Lublin,19.4,76.7,0
2020-08-22,5,Gorzów Wielkopolski,21.7,60.1,0
2020-08-22,5,Zielona Góra,21.7,66.4,0
2020-08-22,5,LódŸ,21.7,73.6,0
2020-08-22,5,Kraków,21.5,74.6,0
2020-08-22,5,Warszawa,20,88.6,0
2020-08-22,5,Opole,20.5,82.6,0
2020-08-22,5,Rzeczów,15.6,38.5,0
2020-08-22,5,Bia³ystok,17.2,98.1,0.1
2020-08-22,5,Gdañsk,21.3,58.5,0.1
2020-08-22,5,Katowice,16.3,86.6,0
2020-08-22,5,Kielce,18.3,93.8,0
2020-08-22,5,Olsztyn,20.1,77.3,0
2020-08-22,5,Poznañ,20.6,90.9,0
2020-08-22,5,Szczecin,22.6,67.4,0

2020-08-22,6,Wroc³aw,20.9,69.3,0
2020-08-22,6,Bydgoszcz,22.1,66.4,0
2020-08-22,6,Toruñ,22,68.2,0.01
2020-08-22,5,Lublin,19.4,76.7,0
2020-08-22,6,Gorzów Wielkopolski,21.9,61.4,0
2020-08-22,6,Zielona Góra,23.1,61.2,0
2020-08-22,6,LódŸ,23.8,68.5,0.01
2020-08-22,6,Kraków,22,73.2,0
2020-08-22,6,Warszawa,21.3,88.7,0
2020-08-22,6,Opole,22.5,74.2,0
2020-08-22,6,Rzeczów,15.1,41.5,0
2020-08-22,6,Bia³ystok,20.9,83.7,0
2020-08-22,6,Gdañsk,22.2,58.3,0
2020-08-22,6,Katowice,20.8,73.5,0
2020-08-22,6,Kielce,20.9,86.9,0
2020-08-22,6,Olsztyn,21.7,75.6,0
2020-08-22,6,Poznañ,21.4,89.8,0.01
2020-08-22,6,Szczecin,22.9,69.2,0.01

2020-08-22,9,Wroc³aw,26.5,47.1,0
2020-08-22,9,Bydgoszcz,27.5,50.1,0
2020-08-22,9,Toruñ,24,63.4,0.01
2020-08-22,9,Lublin,28.3,50.0,0
2020-08-22,9,Gorzów Wielkopolski,26.7,54.0,0
2020-08-22,9,Zielona Góra,28.3,50.0,0
2020-08-22,9,LódŸ,20.8,90.9,0.01
2020-08-22,9,Kraków,25,65.2,0
2020-08-22,9,Warszawa,25.1,66.1,0
2020-08-22,9,Opole,27.7,61.2,0
2020-08-22,9,Rzeczów,18.6,56.2,0
2020-08-22,9,Bia³ystok,27.2,61.1,0
2020-08-22,9,Gdañsk,26.1,51.2,0
2020-08-22,9,Katowice,28.6,44.8,0
2020-08-22,9,Kielce,26.4,59.1,0
2020-08-22,9,Olsztyn,28.7,54.1,0
2020-08-22,9,Poznañ,21.2,90.9,0.01
2020-08-22,9,Szczecin,20.9,93.9,0.01

2020-08-22,12,Wroc³aw,29.7,39.0,0
2020-08-22,11,Bydgoszcz,29.3,43.8,0
2020-08-22,12,Toruñ,21.2,89.8,0.01
2020-08-22,12,Lublin,30.6,44.9,0
2020-08-22,12,Gorzów Wielkopolski,26.2,56.1,0
2020-08-22,12,Zielona Góra,26.8,55.1,0
2020-08-22,12,LódŸ,21.3,90.9,0.01
2020-08-22,11,Kraków,24.6,72.2,0
2020-08-22,12,Warszawa,22.8,63.2,0
2020-08-22,12,Opole,26.2,66.2,0
2020-08-22,12,Rzeczów,17.6,78.5,0
2020-08-22,12,Bia³ystok,29.7,50.9,0
2020-08-22,12,Gdañsk,29.3,45.0,0
2020-08-22,12,Katowice,31.7,34.8,0
2020-08-22,12,Kielce,27.5,58.1,0
2020-08-22,12,Olsztyn,26.7,61.1,0
2020-08-22,12,Poznañ,21.2,91.5,0.01
2020-08-22,12,Szczecin,23.4,82.3,0.01

2020-08-22,13,Wroc³aw,29,41.0,0
2020-08-22,13,Bydgoszcz,30.1,42.8,0
2020-08-22,13,Toruñ,20.5,92.1,0.01
2020-08-22,13,Lublin,31.6,39.7,0
2020-08-22,13,Gorzów Wielkopolski,24.5,65.1,0
2020-08-22,13,Zielona Góra,23.9,70.3,0
2020-08-22,13,LódŸ,21.7,82.7,0.01
2020-08-22,13,Kraków,21.8,91.0,0
2020-08-22,13,Warszawa,23.3,65.3,0
2020-08-22,13,Opole,24,76.3,0
2020-08-22,13,Rzeczów,17.4,76.4,0
2020-08-22,13,Bia³ystok,30.6,46.7,0
2020-08-22,13,Gdañsk,29.3,47.1,0
2020-08-22,13,Katowice,32.4,35.7,0
2020-08-22,13,Kielce,19.8,92.6,0
2020-08-22,13,Olsztyn,25,71.3,0
2020-08-22,13,Poznañ,20.7,92.7,0.01
2020-08-22,13,Szczecin,23.6,80.3,0.01

2020-08-22,15,Wroc³aw,29.8,37.0,0
2020-08-22,15,Bydgoszcz,29.4,46.7,0
2020-08-22,15,Toruñ,20.3,92.1,0.01
2020-08-22,15,Lublin,24.2,75.4,0
2020-08-22,15,Gorzów Wielkopolski,20.5,92.1,0
2020-08-22,15,Zielona Góra,21.1,90.9,0
2020-08-22,15,LódŸ,21.2,84.8,0.01
2020-08-22,15,Kraków,20.5,92.7,0
2020-08-22,15,Warszawa,20.6,63.2,0
2020-08-22,15,Opole,21.9,77.6,0
2020-08-22,15,Rzeczów,19.4,67.2,0
2020-08-22,15,Bia³ystok,29.7,51.9,0
2020-08-22,15,Gdañsk,21.8,89.8,0
2020-08-22,15,Katowice,31.1,39.8,0
2020-08-22,15,Kielce,20.5,92.1,0
2020-08-22,15,Olsztyn,23.2,78.7,0
2020-08-22,15,Poznañ,20.4,92.7,0.01
2020-08-22,15,Szczecin,21.1,91.5,0.01

2020-08-22,15,Wroc³aw,29.8,37.0,0
2020-08-22,16,Bydgoszcz,28.1,48.9,0
2020-08-22,16,Toruñ,20,92.0,0.01
2020-08-22,16,Lublin,23.5,74.3,0
2020-08-22,16,Gorzów Wielkopolski,20.4,92.1,0
2020-08-22,16,Zielona Góra,21.2,90.9,0
2020-08-22,16,LódŸ,21.4,84.8,0.01
2020-08-22,16,Kraków,20.7,92.7,0
2020-08-22,16,Warszawa,20.3,64.4,0
2020-08-22,16,Opole,19.4,89.7,0
2020-08-22,16,Rzeczów,16.6,69.4,0
2020-08-22,16,Bia³ystok,28,53.9,0
2020-08-22,16,Gdañsk,21.3,91.5,0
2020-08-22,16,Katowice,27.2,55.9,0
2020-08-22,16,Kielce,20.1,95.0,0
2020-08-22,16,Olsztyn,20.4,87.5,0
2020-08-22,16,Poznañ,19.9,95.0,0.01
2020-08-22,16,Szczecin,20.6,90.9,0.01

2020-08-23,5,Wroc³aw,17.8,98.7,0
2020-08-23,5,Bydgoszcz,17.2,93.1,0
2020-08-23,5,Toruñ,16.9,98.7,0.01
2020-08-23,5,Lublin,17.7,98.7,0
2020-08-23,5,Gorzów Wielkopolski,17,98.1,0
2020-08-23,5,Zielona Góra,17.1,98.1,0
2020-08-23,5,LódŸ,15.3,96.1,0.01
2020-08-23,5,Kraków,18.6,86.8,0
2020-08-23,5,Warszawa,12.8,98.7,0
2020-08-23,5,Opole,16.3,98.7,0
2020-08-23,5,Rzeczów,11.1,98.0,0
2020-08-23,5,Bia³ystok,17.9,96.2,0
2020-08-23,5,Gdañsk,19,93.8,0
2020-08-23,5,Katowice,17.5,98.1,0
2020-08-23,5,Kielce,14.9,100.0,0
2020-08-23,5,Olsztyn,16.9,93.7,0
2020-08-23,5,Poznañ,16.6,85.5,0.01
2020-08-23,5,Szczecin,16.5,91.9,0.01

2020-08-23,7,Wroc³aw,18.8,95.0,15.2
2020-08-23,7,Bydgoszcz,17.6,89.0,22.6
